TRAN_DT,TRAN_TMRG,TRAN_AMT,MD_TYPE,FND_TYPE,FF_SP_AI,Source,Target,source_fan_out,source_fan_in,source_gather_scatter,source_simple_cycle,source_bipartite,source_stack,target_fan_out,target_fan_in,target_gather_scatter,target_simple_cycle,target_bipartite,target_stack
20240211,0,485709,3,28,02,138_1978990201805765,714_7810586476051201,0,0,0,0,1,43,43,32,32,511,75,2071
20230811,6,691544,2,24,02,155_7975547558140891,110_4193458327420706,0,0,0,0,1,0,0,0,0,0,1,0
20240514,18,696327,4,13,01,198_5286204592485909,140_8133491733954642,0,0,0,0,1,0,0,0,0,0,1,0
20230714,8,986163,3,0,01,183_2026235398741924,359_8748289854730524,0,0,0,0,1,30,30,37,30,510,67,1774
20231222,18,53816,4,26,01,132_4573377960127327,195_3974490284634934,0,0,0,0,1,0,0,0,0,0,1,0
20240220,3,444956,6,0,SP,130_7707036944083430,459_9771999429864325,0,0,0,0,1,32,32,37,32,511,69,1879
20240117,18,946446,6,4,SP,714_7810586476051201,917_9821905184464824,43,32,32,511,75,2071,27,40,27,501,67,1678
20230719,18,395235,6,12,01,181_8869613105571070,917_9821905184464824,0,0,0,0,1,27,27,40,27,501,67,1678
20230818,12,620022,6,26,SP,165_1150429528866467,135_6944075338045293,0,0,0,0,1,0,0,0,0,0,1,0
20230814,12,256081,6,27,01,714_7810586476051201,177_1505127748120953,43,32,32,511,75,2071,0,0,0,0,1,32
20240315,6,603023,3,20,00,359_8748289854730524,459_9771999429864325,30,37,30,510,67,1774,32,37,32,511,69,1879
20240109,21,495119,7,3,SP,151_9657288945834466,133_3055166112087167,0,0,0,0,1,0,0,0,0,0,1,0
20240116,3,290199,8,14,01,359_8748289854730524,917_9821905184464824,30,37,30,510,67,1774,27,40,27,501,67,1678
20230920,0,232087,4,21,SP,125_7146012700096340,161_9990918885077647,44,34,34,508,78,2127,0,0,0,0,1,34
20240520,12,294077,6,2,02,714_7810586476051201,125_9373762130586295,43,32,32,511,75,2071,0,0,0,0,1,32
20240617,3,239474,7,25,00,714_7810586476051201,188_2432876771746893,43,32,32,511,75,2071,0,0,0,0,1,32
20240601,15,987388,8,23,00,459_9771999429864325,168_6382067061055026,32,37,32,511,69,1879,0,0,0,0,1,37
20240424,0,667878,4,17,02,917_9821905184464824,459_9771999429864325,27,40,27,501,67,1678,32,37,32,511,69,1879
20240331,8,738365,6,22,01,714_7810586476051201,777_1130092367040023,43,32,32,511,75,2071,31,36,31,503,67,1744
20240414,3,324109,1,21,02,148_3522822925276131,154_2042999228430732,0,0,0,0,1,0,0,0,0,0,1,0
20240213,12,754593,8,26,02,714_7810586476051201,164_1714255063537000,43,32,32,511,75,2071,0,0,0,0,1,32
